Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-5.3166973528,-7.5562177122,6.3763767996,5.003646045,-4.7582685381,1.182993916,10.3990093325,6.9999916495,0.3640071382,4.4379971764,11.22999878,6.6899983666,12.8700066697,-0.2500014845,3.9299915453,4.1100061151,3.0929997867,4.7900027886,4.2999989604,5.2999947941,2.4910335653,3.6141482891,6.023951196,6.9809469839,6.7689397088,6.4685676716,8.292443822,6.2451283414,2.5397724695,4.3344070879,1.9838232556,3.7322515213,5.4165037153,4.3498423298,2.8619678251,,
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.6670974292,10.4519718907,10.524055204,10.5015672018,10.4255964881,9.0719287115,9.5981138668,8.4217635638,8.9816625781,-5.6496495193,1.6265087407,-3.4973359334,7.5675688239,-16.754229075,-14.8031263125,5.1851849717,9.1549292191,14.1795201387,26.1392957694,6.4952819214,-9.2264050799,6.6988977561,3.597051868,14.1711486245,4.829180114,1.7970002274,2.9845193449,2.3097076608,6.7273297993,-1.5962490865,-4.1817846383,-3.8255827278,0.3078069384,3.1489161912,4.3787513988,4.2235306803,2.0622394896,4.7164738248,7.1441299322,4.1492463998,2.625627121,2.7046295125,-1.2647446288,0.8828842326,3.3952926695,2.516863841,1.4465222153,-2.3241723728,-4.1809198024,1.5470051567,0.6119791667,3.0801087097,-0.5671377268,-1.2429993339,-3.0710920283,0.1656229481,
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8000005499,88.9576648014,34.3895745909,15.5999963636,9.5999997951,5.5000004358,4.3999995067,5.3000002672,4.0000000654,6.0999997712,8.7582303353,5.3784768213,5.7287569117,5.5831275894,-2.9896626195,0.8679832299,0.9557045109,-0.8240890209,2.3508399705,1.1497137031,3.0737720888,3.0562203689,
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1999999997,-9.6000000001,-7.6000000004,-11.7,-10.3999999992,2.7999999987,11.4000000001,8.4000000003,3.3999999998,5.8000000005,4.7253060063,5.0452673176,7.0431926752,11.449742927,9.4,10,8.6000000001,10.2000025777,0.1999952386,7.793697905,5.543710696,1.731392764,1.0239854633,1.7230856886,-3.8295693659,-2.6490380504,
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.892277219,4.8926521803,4.9564341949,4.9998799104,4.9305409613,4.770845113,4.9131231621,7.3672254571,5.106374791,4.8076933638,3.9594410817,10.2183038391,5.3518941109,13.5599851718,3.5928244425,-0.0340209434,6.4965942871,7.9208071786,7.5170215135,15.1665180766,1.2906397365,-0.2831562248,-2.1060173146,1.9579451273,1.0668492545,4.5742587296,11.2157797127,9.2375964581,13.0908415724,10.6285760723,10.4970424941,12.0357579021,6.2765637419,0.1579386787,0.6439735776,1.4287226647,3.5451788579,3.7409566023,8.7803714549,13.0387621268,5.0156629991,5.1185594429,9.3265378576,4.6504680343,2.5787420306,4.5825602968,1.1043108036,3.2284949774,0.7131177495,3.3244422197,2.1039508038,3.8247487829,1.3140791704,3.5017859118,2.8719350406,-0.5942982684,
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.68,4.47,1.07,11.11,4.76,14.3636363636,13.2750397456,2.1052631579,3.4364261168,6.3122923588,3.4375,1.8126888218,1.4836795252,0.8771929825,3.768115942,8.938547486,5.8974358974,1.4527845036,2.1479713604,7.9439252336,2.380952381,-5.2854122622,2.0089285714,0.4814004376,-2.0034843206,6.6666666667,3.75,4.0562248996,0.4438440756,0.0192122959,-3.5343834038,-0.0597371565,3.0085674437,0.5996131528,4.3991478562,2.6004760456,4.6,3.9,3.382648714,9.3171555765,7.2224360086,-1.4777903746,3.4107062041,2.3212664765,1.6742071493,5.5438659281,2.8458901143,1.5278939096,-5.2841771495,-2.0941135341,-3.3394944102,-4.834540171,-2.511154431,,,,
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.0799836281,5.5702253461,6.4207015807,4.7945595746,5.6250177461,6.4972957327,6.9088679355,-12.1690279476,3.0960136402,-0.4948213666,5.0633363143,7.9674854822,5.7391613433,2.9395681278,7.3110176485,4.614567334,4.9712160875,2.0526944422,0.1333440412,-1.3717733159,0.2756167405,-3.938737804,-4.0421217887,-0.2006717443,-1.6763870959,-2.5738773774,2.4634793728,2.9095054186,3.7901285342,4.6357878794,5.2665221213,1.6465000387,4.2692948546,4.6672662635,4.6782770997,4.3613402939,4.954208743,5.0293547554,0.4268854226,2.507810809,1.6837991272,2.4855657378,2.711339837,4.1732955892,4.4214331269,4.7970088236,4.5642849247,6.1485976721,3.3570012589,4.1267225647,5.204092718,5.122274661,6.7960117056,5.460569752,4.8571878949,4.2639194039,
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.2759115543,5.2160594202,0.8746725924,3.4855823043,3.0534878937,4.150360233,4.915265675,11.4272823833,9.7358268899,8.7699474717,11.2950868434,12.05280225,13.9786916511,9.0421203132,5.2090759011,9.7904101615,4.6063180611,3.2317095633,6.7662849653,9.1109601552,-4.3933572003,0.5802455534,-3.4097934737,5.2691431498,7.9458617487,7.9882951049,3.5996294668,-0.1026727184,3.279458858,-3.1023559488,1.5119372379,-0.4669132098,4.6651689888,5.3345517025,4.4167313539,2.2075355279,3.3950286372,0.3383561793,0.4690665875,4.1125649097,1.3898671663,3.0533037312,1.141007013,5.7598760039,3.202135213,3.9619026564,6.0698728461,5.0943422702,-0.1258730615,7.5282235622,3.9744254063,1.9211503175,3.0048653589,0.5039617909,-3.7692526694,-3.5947391963,
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9000076196,-5.7000164216,0.8000066767,1.9999982699,2.023261449,3.9662747892,4.7401484866,3.7404580153,0.3258698623,4.4530595138,-2.3673387501,0.7911229837,2.1712538226,1.4067644418,3.9649744195,5.6685908962,1.7642844349,0.3960221772,-4.0410238429,0.2649127615,0.4555393586,0.2811536369,0.0090440445,0.0180864532,0.904159132,2.0430107527,
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,0.3554630683,20.1553943567,10.9166970557,6.7758344223,22.5624287638,-6.996702984,-19.8267158647,3.9566549384,0.5014659659,0.5998765417,-1.4907490803,-2.7154699532,2.0091298136,1.0973671657,-1.0741785726,1.0894205355,3.1459413617,4.7585808455,0.3045728741,3.1453973954,4.4787073398,2.8783177472,-1.4711715722,-0.5585088511,3.0521571416,2.8494218578,2.7440405177,3.872096967,2.9039554765,0.5043182527,0.3875072082,4.3977196775,0.1545818117,-1.9397146378,-1.7645355413,2.5989657464,3.7453183521,0.912841671,-2.1260285174,-2.3497467495,-0.5668146088,-2.4655149234,
